,date,side,vwap,amt
0,2023-07-02 00:00:00+00:00,buy,1922.434942943339,315235.116407233
1,2023-07-02 00:00:00+00:00,sell,1922.7695200968242,318973.02943543013
2,2023-07-03 00:00:00+00:00,buy,1959.0039555135263,391748.8625242645
3,2023-07-03 00:00:00+00:00,sell,1959.3095658519078,399354.5454033384
4,2023-07-04 00:00:00+00:00,buy,1951.8846571819513,241639.99212108576
5,2023-07-04 00:00:00+00:00,sell,1951.8020797850936,261724.13424966024
6,2023-07-05 00:00:00+00:00,buy,1915.7180452297466,289732.02909347496
7,2023-07-05 00:00:00+00:00,sell,1915.811618830741,308241.9359334522
8,2023-07-06 00:00:00+00:00,sell,1900.4417953316,533184.6673623631
9,2023-07-06 00:00:00+00:00,buy,1901.0384765344356,505298.6027201956
10,2023-07-07 00:00:00+00:00,sell,1857.6414652949538,302495.88893445866
11,2023-07-07 00:00:00+00:00,buy,1858.3573161466948,307492.1640590333
12,2023-07-08 00:00:00+00:00,buy,1860.1247838346471,154570.39832310993
13,2023-07-08 00:00:00+00:00,sell,1859.5545537213611,161081.50923045163
14,2023-07-09 00:00:00+00:00,sell,1866.9811398386391,166004.9477557419
15,2023-07-09 00:00:00+00:00,buy,1867.3070517083515,164096.19416889694
16,2023-07-10 00:00:00+00:00,buy,1872.0567096510401,309506.2909101355
17,2023-07-10 00:00:00+00:00,sell,1871.333574884363,302145.84302963194
18,2023-07-11 00:00:00+00:00,buy,1875.1430900725534,213583.0706260145
19,2023-07-11 00:00:00+00:00,sell,1874.6912640292867,217108.08853858564
20,2023-07-12 00:00:00+00:00,buy,1885.3037415082636,302754.8491275825
21,2023-07-12 00:00:00+00:00,sell,1885.2548425221348,308614.6061971021
22,2023-07-13 00:00:00+00:00,sell,1949.9558324538161,625326.0537877878
23,2023-07-13 00:00:00+00:00,buy,1949.8495200417478,659910.4449740957
24,2023-07-14 00:00:00+00:00,sell,1969.9963681483803,602054.5401021007
25,2023-07-14 00:00:00+00:00,buy,1970.894646925864,560689.4951438726
26,2023-07-15 00:00:00+00:00,buy,1934.7996805627936,156946.6533552084
27,2023-07-15 00:00:00+00:00,sell,1934.7832403728073,156248.35479296563
28,2023-07-16 00:00:00+00:00,buy,1930.0037479719085,165561.94949554352
29,2023-07-16 00:00:00+00:00,sell,1929.6531447974987,173027.05135837616
30,2023-07-17 00:00:00+00:00,buy,1907.6116338588379,359680.4637552387
31,2023-07-17 00:00:00+00:00,sell,1906.7830367719657,348407.7466930563
32,2023-07-18 00:00:00+00:00,buy,1898.3994183012626,289346.11759747687
33,2023-07-18 00:00:00+00:00,sell,1898.3571180896745,300951.39892593527
34,2023-07-19 00:00:00+00:00,sell,1904.5930157826908,289031.55244916934
35,2023-07-19 00:00:00+00:00,buy,1904.5018948555698,305827.2974538941
36,2023-07-20 00:00:00+00:00,buy,1900.6983531635506,360670.7655550953
37,2023-07-20 00:00:00+00:00,sell,1900.2558225251883,363882.74866811925
38,2023-07-21 00:00:00+00:00,buy,1893.3200044137632,197494.55537882986
39,2023-07-21 00:00:00+00:00,sell,1893.1836131617733,203413.18706103083
40,2023-07-22 00:00:00+00:00,sell,1880.1553652825642,157525.50306570705
41,2023-07-22 00:00:00+00:00,buy,1879.3306554372857,154397.6329426009
42,2023-07-23 00:00:00+00:00,sell,1880.861227139202,198287.90298483055
43,2023-07-23 00:00:00+00:00,buy,1880.491971510921,195733.9122577535
44,2023-07-24 00:00:00+00:00,buy,1853.0696915857184,331895.70051579014
45,2023-07-24 00:00:00+00:00,sell,1853.9854285313754,343139.37429960375
46,2023-07-25 00:00:00+00:00,sell,1856.8850354172782,180647.88042996352
47,2023-07-25 00:00:00+00:00,buy,1856.8044868352147,182366.29897068697
48,2023-07-26 00:00:00+00:00,buy,1864.1287400034712,322970.00495176105
49,2023-07-26 00:00:00+00:00,sell,1864.480051096861,295088.1699947578
50,2023-07-27 00:00:00+00:00,buy,1870.7507202006068,204046.12175876333
51,2023-07-27 00:00:00+00:00,sell,1870.6540518483441,201139.43767234718
52,2023-07-28 00:00:00+00:00,buy,1869.7130758816559,165528.90746377542
53,2023-07-28 00:00:00+00:00,sell,1869.6096112090902,163365.7517936115
54,2023-07-29 00:00:00+00:00,buy,1875.883677454335,80663.687664178
55,2023-07-29 00:00:00+00:00,sell,1875.8594092409342,81272.85886810676
56,2023-07-30 00:00:00+00:00,buy,1868.4656887839035,174144.3454427394
57,2023-07-30 00:00:00+00:00,sell,1868.29543950344,165149.43957044568
58,2023-07-31 00:00:00+00:00,buy,1863.1695103323877,204342.65338975037
59,2023-07-31 00:00:00+00:00,sell,1863.2237091030877,203816.60063493048
60,2023-08-01 00:00:00+00:00,sell,1838.4350049312054,439477.06225753133
61,2023-08-01 00:00:00+00:00,buy,1838.5844889198866,413700.9205210787
62,2023-08-02 00:00:00+00:00,buy,1849.6910470269786,311605.37600671814
63,2023-08-02 00:00:00+00:00,sell,1849.8638163357957,322669.9378544857
64,2023-08-03 00:00:00+00:00,sell,1840.4505902947435,227669.47385369946
65,2023-08-03 00:00:00+00:00,buy,1840.57527421538,223922.529480973
66,2023-08-04 00:00:00+00:00,sell,1835.9425871090318,235674.38265566423
67,2023-08-04 00:00:00+00:00,buy,1836.070239733939,228490.50503394322
68,2023-08-05 00:00:00+00:00,buy,1832.4257515576185,96926.31132504436
69,2023-08-05 00:00:00+00:00,sell,1832.4021705155767,98331.894041296
70,2023-08-06 00:00:00+00:00,sell,1832.098480619512,104885.64502682564
